22:47:11 | CLIENT | SENT | DATA | 1200 | CLIENT | RELAY1 |
22:47:11 | RELAY1 | DROP | DATA | 1200 | SERVER | CLIENT |
22:47:11 | CLIENT | SENT | DATA | 1300 | CLIENT | RELAY1 |
22:47:11 | RELAY2 | TIMEOUT | DATA | 1300 | SERVER | CLIENT |
22:47:11 | CLIENT | SENT | DATA | 1400 | CLIENT | RELAY1 |
22:47:11 | CLIENT | SENT | DATA | 1500 | CLIENT | RELAY1 |
22:47:12 | RELAY1 | DROP | DATA | 1200 | CLIENT | SERVER |
22:47:12 | RELAY2 | TIMEOUT | DATA | 1300 | CLIENT | SERVER |
22:47:12 | SERVER | RCVD | DATA | 1200 | SERVER | RELAY1 |
22:47:12 | SERVER | RCVD | ACK | 1200 | SERVER | RELAY2 |
22:47:12 | RELAY1 | DROP | ACK | 1200 | SERVER | CLIENT |
22:47:12 | SERVER | RCVD | DATA | 1300 | SERVER | RELAY1 |
22:47:12 | RELAY1 | DROP | DATA | 1200 | SERVER | CLIENT |
22:47:12 | SERVER | RCVD | ACK | 1300 | SERVER | RELAY2 |
22:47:12 | RELAY1 | DROP | DATA | 1400 | SERVER | CLIENT |
22:47:12 | CLIENT | SENT | ACK | 1200 | RELAY1 | CLIENT |
22:47:12 | RELAY2 | TIMEOUT | ACK | 1300 | SERVER | CLIENT |
22:47:12 | RELAY2 | TIMEOUT | DATA | 1300 | SERVER | CLIENT |
22:47:12 | RELAY2 | TIMEOUT | DATA | 1500 | SERVER | CLIENT |
22:47:12 | CLIENT | SENT | ACK | 1300 | RELAY1 | CLIENT |
22:47:14 | RELAY1 | DROP | DATA | 1400 | CLIENT | SERVER |
22:47:14 | RELAY2 | TIMEOUT | DATA | 1500 | CLIENT | SERVER |
22:47:14 | SERVER | RCVD | DATA | 1500 | SERVER | RELAY1 |
22:47:14 | SERVER | RCVD | ACK | 1500 | SERVER | RELAY2 |
22:47:14 | SERVER | RCVD | DATA | 1400 | SERVER | RELAY1 |
22:47:14 | RELAY2 | TIMEOUT | ACK | 1500 | SERVER | CLIENT |
22:47:14 | SERVER | RCVD | ACK | 1400 | SERVER | RELAY2 |
22:47:14 | RELAY1 | DROP | ACK | 1400 | SERVER | CLIENT |
22:47:14 | RELAY2 | TIMEOUT | DATA | 1500 | SERVER | CLIENT |
22:47:14 | RELAY1 | DROP | DATA | 1400 | SERVER | CLIENT |
22:47:14 | CLIENT | SENT | ACK | 1500 | RELAY1 | CLIENT |
22:47:14 | CLIENT | SENT | ACK | 1400 | RELAY1 | CLIENT |
22:47:14 | CLIENT | SENT | DATA | 1600 | CLIENT | RELAY1 |
22:47:14 | CLIENT | SENT | DATA | 1700 | CLIENT | RELAY1 |
22:47:14 | RELAY1 | DROP | DATA | 1600 | SERVER | CLIENT |
22:47:14 | RELAY2 | TIMEOUT | DATA | 1700 | SERVER | CLIENT |
22:47:14 | CLIENT | SENT | DATA | 1800 | CLIENT | RELAY1 |
22:47:14 | CLIENT | SENT | DATA | 1900 | CLIENT | RELAY1 |
22:47:15 | RELAY2 | TIMEOUT | DATA | 1700 | CLIENT | SERVER |
22:47:15 | SERVER | RCVD | DATA | 1600 | SERVER | RELAY1 |
22:47:15 | RELAY1 | DROP | DATA | 1600 | CLIENT | SERVER |
22:47:15 | RELAY1 | DROP | ACK | 1600 | SERVER | CLIENT |
22:47:15 | SERVER | RCVD | ACK | 1600 | SERVER | RELAY2 |
22:47:15 | SERVER | RCVD | DATA | 1700 | SERVER | RELAY1 |
22:47:15 | RELAY1 | DROP | DATA | 1600 | SERVER | CLIENT |
22:47:15 | SERVER | RCVD | ACK | 1700 | SERVER | RELAY2 |
22:47:15 | RELAY1 | DROP | DATA | 1800 | SERVER | CLIENT |
22:47:15 | CLIENT | SENT | ACK | 1600 | RELAY1 | CLIENT |
22:47:15 | RELAY2 | TIMEOUT | ACK | 1700 | SERVER | CLIENT |
22:47:15 | RELAY2 | TIMEOUT | DATA | 1700 | SERVER | CLIENT |
22:47:15 | RELAY2 | TIMEOUT | DATA | 1900 | SERVER | CLIENT |
22:47:15 | CLIENT | SENT | ACK | 1700 | RELAY1 | CLIENT |
22:47:16 | SERVER | RCVD | DATA | 1800 | SERVER | RELAY1 |
22:47:16 | RELAY1 | DROP | DATA | 1800 | CLIENT | SERVER |
22:47:16 | RELAY2 | TIMEOUT | DATA | 1900 | CLIENT | SERVER |
22:47:16 | SERVER | RCVD | ACK | 1800 | SERVER | RELAY2 |
22:47:16 | RELAY1 | DROP | ACK | 1800 | SERVER | CLIENT |
22:47:16 | SERVER | RCVD | DATA | 1900 | SERVER | RELAY1 |
22:47:16 | RELAY1 | DROP | DATA | 1800 | SERVER | CLIENT |
22:47:16 | SERVER | RCVD | ACK | 1900 | SERVER | RELAY2 |
22:47:16 | CLIENT | SENT | ACK | 1800 | RELAY1 | CLIENT |
22:47:16 | RELAY2 | TIMEOUT | ACK | 1900 | SERVER | CLIENT |
22:47:16 | RELAY2 | TIMEOUT | DATA | 1900 | SERVER | CLIENT |
22:47:16 | CLIENT | SENT | ACK | 1900 | RELAY1 | CLIENT |
22:47:16 | CLIENT | SENT | DATA | 2000 | CLIENT | RELAY1 |
22:47:16 | CLIENT | SENT | DATA | 2100 | CLIENT | RELAY1 |
22:47:16 | RELAY1 | DROP | DATA | 2000 | SERVER | CLIENT |
22:47:16 | RELAY2 | TIMEOUT | DATA | 2100 | SERVER | CLIENT |
22:47:16 | CLIENT | SENT | DATA | 2200 | CLIENT | RELAY1 |
